CIP,C,13	CIP7,C,7	PRIX_F,N,10,0	PRIX_E,N,10,0	FAB_HT_F,N,11,0	FAB_HT_E,N,11,0	TAUX,C,3	DATE_APPLI,D	DATE_JO,D
3400931808534	3180853	0	540	0	350	030	02/05/11	06/04/11
3400931809654	3180965	0	750	0	513	065	01/01/12	
3400931809654	3180965	0	767	0	513	065	07/03/08	06/03/08
3400931809715	3180971	0	344	0	201	065	01/01/12	
3400931809715	3180971	0	333	0	201	065	07/03/08	06/03/08
3400931810315	3181031	0	678	0	460	065	01/01/12	
3400931810315	3181031	0	693	0	460	065	07/03/08	06/03/08
3400931812555	3181255	0	284	0	155	030	01/01/12	
3400931812555	3181255	0	269	0	155	030	02/05/11	06/04/11
3400931813736	3181373	0	373	0	224	065	01/01/12	
3400931813736	3181373	0	365	0	224	065	07/03/08	06/03/08
3400931814627	3181462	0	239	0	120	065	01/07/13	21/06/13
3400931814627	3181462	0	391	0	238	065	01/01/12	18/11/11
3400931814627	3181462	0	422	0	265	065	07/03/08	06/03/08
3400931815686	3181568	0	369	0	221	030	01/01/12	30/12/11
3400931815686	3181568	0	394	0	245	030	02/05/11	06/04/11
3400931815808	3181580	0	328	0	189	065	01/01/12	
3400931815808	3181580	0	317	0	189	065	07/03/08	06/03/08
3400931820369	3182036	0	498	0	321	065	01/01/12	
3400931820369	3182036	0	500	0	321	065	07/03/08	06/03/08
3400931821199	3182119	0	600	0	0	030	02/05/11	
3400931823902	3182390	0	239	0	120	065	01/01/12	
3400931823902	3182390	0	221	0	120	065	07/03/08	06/03/08
3400931824091	3182409	0	506	0	327	065	01/01/12	
3400931824091	3182409	0	508	0	327	065	07/03/08	06/03/08
3400931825043	3182504	0	490	0	315	015	01/01/12	
3400931825043	3182504	0	492	0	315	015	17/04/10	16/04/10
3400931825791	3182579	0	190	0	82	065	01/01/12	
3400931825791	3182579	0	168	0	82	065	07/03/08	06/03/08
3400931828693	3182869	0	311	0	176	065	01/01/12	
